"","URN","LAESTAB","Schoolname","Ofstedphase","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","daysbetween","prev_out","curr_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"217",145486,9377044,"Welcombe Hills School","Special","Academy Special Converter","West Midlands","Warwickshire",2013-07-11,2,2010-06-08,2,420155,256147,"1","E07000221","E01031228",937,1129,"2","2","1",181,"Y","Y",0.0503873561443192,0.949612643855681
"218",145575,9374014,"Bilton School","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2019-12-01,4,2016-03-10,4,447965,273993,"1","E07000220","E01032895",937,1361,"4","4","2",951,"N","N",0.281480918923667,0.718519081076333
"219",145711,9373021,"Coughton CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2015-06-01,2,2013-05-03,3,407949,260256,"1","E07000221","E01031213",937,759,"3","2","2",161,"N","Y",0.156380031256062,0.843619968743938
"220",145712,9373066,"Temple Grafton CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2012-01-09,1,2007-02-26,2,412298,254793,"1","E07000221","E01031188",937,1778,"2","1","2",108,"Y","Y",0.107106206878753,0.892893793121247
"221",146149,9373211,"Long Itchington CofE Academy","Primary","Academy Converter","West Midlands","Warwickshire",2014-02-25,2,2011-02-18,2,442046,264950,"1","E07000221","E01031211",937,1103,"2","2","2",184,"Y","Y",0.152552354593724,0.847447645406276
"222",146151,9373585,"Southam St James CofE Academy","Primary","Academy Converter","West Midlands","Warwickshire",2016-10-12,3,2012-07-02,2,441928,262229,"1","E07000221","E01031220",937,1563,"2","3","2",177,"Y","N",0.105261045087519,0.894738954912481
"223",146171,9373586,"Coleshill Church of England Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2015-05-18,2,2013-05-10,3,419966,288539,"1","E07000218","E01031021",937,738,"3","2","3",389,"N","Y",0.171150041743247,0.828849958256753
"224",146199,9372065,"Keresley Newland Primary Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2018-03-20,4,2014-01-21,3,431632,285206,"1","E07000219","E01031077",937,1519,"3","4","4",133,"N","N",0.326557514187886,0.673442485812114
"225",146457,9372502,"Curdworth Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2011-11-23,2,2009-07-02,2,418151,292786,"1","E07000218","E01031023",937,874,"2","2","2",115,"Y","Y",0.164269681654067,0.835730318345933
"226",146691,9372610,"Temple Herdewyke Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2013-03-08,2,2008-03-03,2,438208,252080,"1","E07000221","E01031194",937,1831,"2","2","1",77,"Y","Y",0.113033568943041,0.886966431056959
"227",146697,9374236,"Kenilworth School and Sixth Form","Secondary","Academy Converter","West Midlands","Warwickshire",2013-03-01,1,2008-03-13,2,430077,272092,"1","E07000222","E01031298",937,1814,"2","1","1",1820,"Y","Y",0.0363717184095796,0.96362828159042
"228",147432,9374110,"Kineton High School","Secondary","Academy Converter","West Midlands","Warwickshire",2011-10-20,2,2008-10-10,3,434146,251039,"1","E07000221","E01031205",937,1105,"3","2","1",884,"N","Y",0.170593608653098,0.829406391346902
