"","URN","LAESTAB","Schoolname","Ofstedphase","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","daysbetween","prev_out","curr_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"71",125667,9373157,"St. Margaret's CofE Junior School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2013-02-26,2,2010-09-13,3,432612,263091,"0","E07000222","E01031330",937,897,"3","2","1",358,"N","Y",0.0459978163729361,0.954002183627064
"72",125670,9373177,"Clifton-upon-Dunsmore CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-04-16,1,2011-02-16,1,452823,276341,"0","E07000220","E01031129",937,1520,"1","1","2",221,"Y","Y",0.0532257247264122,0.946774275273588
"73",125676,9373192,"Wolston St Margaret's CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2013-03-21,2,2007-10-31,2,441121,275634,"0","E07000220","E01031154",937,1968,"2","2","2",208,"Y","Y",0.0863386021558564,0.913661397844144
"74",125677,9373193,"Wolvey CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2019-09-11,3,2017-03-20,3,442587,287753,"0","E07000220","E01031182",937,905,"3","3","1",176,"N","N",0.037889986237313,0.962110013762687
"75",125681,9373204,"Holy Trinity CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2017-10-31,3,2015-11-09,3,419256,254946,"0","E07000221","E01031232",937,722,"3","3","2",395,"N","N",0.0460115439656821,0.953988456034318
"76",125682,9373205,"Bilton CofE Junior School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-09-05,2,2012-11-26,3,448990,272910,"0","E07000220","E01031135",937,648,"3","2","2",418,"N","Y",0.0674346524459691,0.932565347554031
"77",125684,9373207,"Shustoke CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2011-11-24,2,2006-10-19,2,423068,290698,"0","E07000218","E01031028",937,1862,"2","2","2",204,"Y","Y",0.0867415305713947,0.913258469428605
"78",125687,9373210,"The Ferncumbe CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-11-27,2,2009-12-30,2,423344,267459,"0","E07000222","E01031268",937,1793,"2","2","1",194,"Y","Y",0.056089032930705,0.943910967069295
"79",125688,9373301,"All Saints Bedworth C/E Primary School & Nursery","Primary","Voluntary Aided School","West Midlands","Warwickshire",2020-01-12,3,2015-01-12,2,436440,286651,"0","E07000219","E01031097",937,1826,"2","3","4",237,"Y","N",0.104105852508016,0.895894147491984
"80",125689,9373302,"The Canons C of E Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2014-09-08,1,2013-03-20,4,435485,286786,"0","E07000219","E01031063",937,537,"4","1","3",629,"N","Y",0.0474270806463559,0.952572919353644
"81",125692,9373308,"Kineton CofE (VA) Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2017-04-05,2,2015-04-23,3,433391,251194,"0","E07000221","E01031206",937,713,"3","2","2",195,"N","Y",0.0876543473473093,0.912345652652691
"82",125693,9375205,"Moreton Morrell CofE Primary School","Primary","Foundation School","West Midlands","Warwickshire",2017-06-08,2,2012-03-02,2,431170,255826,"0","E07000221","E01031252",937,1924,"2","2","1",92,"Y","Y",0.063380796746518,0.936619203253482
"83",125696,9373313,"Wilmcote CofE (Voluntary Aided) Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2018-09-13,3,2014-03-18,2,416393,257868,"0","E07000221","E01031187",937,1640,"2","3","2",84,"Y","N",0.066890794695477,0.933109205304523
"84",125701,9373371,"St Paul's CofE Primary School, Leamington Spa","Primary","Voluntary Aided School","West Midlands","Warwickshire",2017-09-11,2,2015-04-20,3,432709,266139,"0","E07000222","E01031271",937,875,"3","2","3",325,"N","Y",0.108145574189894,0.891854425810106
"85",125703,9373391,"Dunchurch Boughton CofE (Voluntary Aided) Junior School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2012-03-02,1,2007-05-10,2,448142,271289,"0","E07000220","E01031147",937,1758,"2","1","1",266,"Y","Y",0.0317496434925264,0.968250356507474
"86",125707,9373503,"St Edward's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2019-02-26,3,2015-01-21,2,420161,288275,"0","E07000218","E01031022",937,1497,"2","3","3",242,"Y","N",0.0802948641027957,0.919705135897204
"87",125708,9373505,"St Mary's Catholic Primary School, Southam","Primary","Voluntary Aided School","West Midlands","Warwickshire",2015-02-11,2,2013-02-08,3,442049,261884,"0","E07000221","E01031222",937,733,"3","2","2",117,"N","Y",0.0959355054056746,0.904064494594325
"88",125710,9373507,"St Mary's Catholic Primary School, Studley","Primary","Voluntary Aided School","West Midlands","Warwickshire",2011-07-12,1,2007-12-06,2,407077,263622,"0","E07000221","E01031239",937,1314,"2","1","2",221,"Y","Y",0.0532257247264122,0.946774275273588
"89",125713,9373541,"St Augustine's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2014-11-13,2,2010-07-22,2,428379,273187,"0","E07000222","E01031254",937,1575,"2","2","1",200,"Y","Y",0.055685621192374,0.944314378807626
"90",125714,9373542,"St Peter's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2010-12-01,2,2007-12-10,3,431646,265727,"0","E07000222","E01033253",937,1087,"3","2","1",103,"N","Y",0.062553772111405,0.937446227888595
"91",125715,9373543,"St Patrick's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2017-12-06,2,2012-12-21,2,431677,264490,"0","E07000222","E01031261",937,1811,"2","2","4",166,"Y","Y",0.164152057368451,0.835847942631549
"92",125716,9373544,"St Anthony's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2009-09-10,1,2006-07-17,2,433020,265193,"0","E07000222","E01031337",937,1151,"2","1","3",234,"Y","Y",0.0760943374504642,0.923905662549536
"93",125717,9373545,"St Mary Immaculate Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2015-02-24,2,2013-03-18,3,428329,265577,"0","E07000222","E01031321",937,708,"3","2","3",107,"N","Y",0.137996197474614,0.862003802525386
"94",125718,9373546,"Our Lady and St Teresa's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2020-03-10,2,2015-07-03,2,433664,268310,"0","E07000222","E01031277",937,1712,"2","2","3",157,"Y","Y",0.130590574577427,0.869409425422573
"95",125719,9373547,"St Joseph's Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2014-03-06,2,2008-04-15,1,432388,263049,"0","E07000222","E01031331",937,2151,"1","2","2",205,"Y","Y",0.086640639209336,0.913359360790664
"96",125721,9373561,"Our Lady's Catholic Primary School, Princethorpe","Primary","Voluntary Aided School","West Midlands","Warwickshire",2012-04-18,2,2007-08-21,2,439996,270912,"0","E07000220","E01031149",937,1702,"2","2","2",112,"Y","Y",0.0964895295785952,0.903510470421405
"97",125724,9373564,"English Martyrs Catholic Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2012-01-06,2,2009-06-03,2,453102,273498,"0","E07000220","E01031163",937,947,"2","2","2",200,"Y","Y",0.0871461600341445,0.912853839965855
"98",125729,9373587,"Barford St Peter's CofE Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2014-11-24,2,2010-03-05,2,427139,260842,"0","E07000222","E01031269",937,1725,"2","2","1",189,"Y","Y",0.0564273075953639,0.943572692404636
"99",125756,9374752,"Trinity Catholic School","Secondary","Voluntary Aided School","West Midlands","Warwickshire",2013-07-11,2,2009-12-31,3,430671,266531,"0","E07000222","E01031292",937,1288,"3","2","2",558,"N","Y",0.21447736619354,0.78552263380646
"100",125760,9375201,"Wolverton Primary School","Primary","Foundation School","West Midlands","Warwickshire",2013-04-11,2,2007-10-01,2,421812,263300,"0","E07000221","E01031217",937,2019,"2","2","1",78,"Y","Y",0.0644481179170062,0.935551882082994
"101",125761,9375202,"Middlemarch School","Primary","Foundation School","West Midlands","Warwickshire",2015-09-09,2,2012-04-17,2,435943,290513,"0","E07000219","E01031116",937,1240,"2","2","4",210,"Y","Y",0.156603313696418,0.843396686303582
"102",125762,9375203,"Dunnington CofE Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2013-04-15,2,2007-11-12,2,406807,253683,"0","E07000221","E01031189",937,1981,"2","2","2",97,"Y","Y",0.0981687812412815,0.901831218758719
"103",125763,9375204,"Dunchurch Infant School","Primary","Foundation School","West Midlands","Warwickshire",2015-11-09,1,2011-02-16,2,448176,271260,"0","E07000220","E01031148",937,1727,"2","1","1",175,"Y","Y",0.035514610684767,0.964485389315233
"104",125764,9375400,"The Avon Valley School and Performing Arts College","Secondary","Foundation School","West Midlands","Warwickshire",2013-12-04,2,2011-02-16,2,449544,276564,"0","E07000220","E01031171",937,1022,"2","2","3",1090,"Y","Y",0.1711343598681,0.8288656401319
"105",125794,9377000,"Exhall Grange Specialist School","Special","Community Special School","West Midlands","Warwickshire",2014-06-18,2,2013-01-14,3,433641,284354,"0","E07000219","E01032588",937,520,"3","2","3",234,"N","Y",0.0607945911378757,0.939205408862124
"106",125805,9377028,"Ridgeway School","Special","Community Special School","West Midlands","Warwickshire",2014-11-24,2,2012-01-09,1,428039,266285,"0","E07000222","E01031312",937,1050,"1","2","1",123,"Y","Y",0.0299945595138138,0.970005440486186
"107",125806,9377030,"Round Oak School","Special","Community Special School","West Midlands","Warwickshire",2013-12-17,2,2012-03-15,3,430224,264837,"0","E07000222","E01031315",937,642,"3","2","2",126,"N","Y",0.0475000008922021,0.952499999107798
"108",130379,9373216,"The Dassett CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2015-05-08,2,2013-05-09,3,441764,252277,"0","E07000221","E01031198",937,729,"3","2","1",135,"N","Y",0.0602048201543818,0.939795179845618
"109",130867,9372623,"Coten End Primary School","Primary","Community School","West Midlands","Warwickshire",2012-01-12,1,2007-02-26,2,428965,265152,"0","E07000222","E01031316",937,1781,"2","1","2",651,"Y","Y",0.0314788164037435,0.968521183596256
"110",130868,9372622,"Sydenham Primary School","Primary","Community School","West Midlands","Warwickshire",2015-02-25,1,2011-02-07,1,433354,264603,"0","E07000222","E01031334",937,1479,"1","1","3",416,"Y","Y",0.0613093574222148,0.938690642577785
"111",130869,9372621,"Lillington Primary School","Primary","Community School","West Midlands","Warwickshire",2019-09-02,4,2016-11-15,3,432691,267183,"0","E07000222","E01031274",937,1021,"3","4","4",303,"N","N",0.174465773632189,0.825534226367811
"112",130870,9372620,"St John's Primary School","Primary","Community School","West Midlands","Warwickshire",2014-03-07,2,2012-07-06,3,428705,270951,"0","E07000222","E01031303",937,609,"3","2","1",261,"N","Y",0.0517365572880769,0.948263442711923
"113",130872,9372638,"Kingsway Community Primary School","Primary","Community School","West Midlands","Warwickshire",2020-02-03,3,2017-09-05,4,431586,264570,"0","E07000222","E01031261",937,881,"4","3","4",173,"N","N",0.111961432859304,0.888038567140696
"114",130875,9373212,"Provost Williams CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-03-03,2,2012-08-16,3,438245,274222,"0","E07000220","E01031181",937,564,"3","2","3",180,"N","Y",0.127298888328823,0.872701111671177
"115",130877,9373591,"St Andrew's Benn CofE (Voluntary Aided) Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2017-01-19,2,2014-11-26,3,451488,275635,"0","E07000220","E01031130",937,785,"3","2","3",326,"N","Y",0.108022731941337,0.891977268058663
"116",130878,9373593,"The Revel CofE (Aided) Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2011-11-07,2,2009-06-02,3,446752,283064,"0","E07000220","E01031160",937,888,"3","2","1",308,"N","Y",0.0488759764552933,0.951124023544707
"117",130881,9373215,"Bournebrook CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2019-12-05,2,2008-02-29,1,428060,287260,"0","E07000218","E01031028",937,4297,"1","2","2",149,"Y","Y",0.0924566678037513,0.907543332196249
"118",130882,9373214,"Newbold and Tredington CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2014-09-08,2,2012-11-20,3,425515,243480,"0","E07000221","E01031245",937,657,"3","2","1",75,"N","Y",0.0646789969281124,0.935321003071888
"119",130883,9373213,"St Matthew's Bloxam CofE Primary School","Primary","Voluntary Controlled School","West Midlands","Warwickshire",2019-04-08,3,2015-03-24,2,449491,274879,"0","E07000220","E01031167",937,1476,"2","3","3",235,"Y","N",0.0809560481325259,0.919043951867474
"120",130884,9373589,"St Lawrence CofE (Voluntary Aided) Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2016-03-22,2,2011-07-11,2,446658,261018,"0","E07000221","E01031224",937,1716,"2","2","1",197,"Y","Y",0.0558869846135213,0.944113015386479
"121",130885,9372625,"Paddox Primary School","Primary","Community School","West Midlands","Warwickshire",2017-09-07,2,2010-03-26,1,451941,273799,"0","E07000220","E01031155",937,2722,"1","2","1",577,"Y","Y",0.0351910794705018,0.964808920529498
"122",130886,9372626,"Binley Woods Primary School","Primary","Community School","West Midlands","Warwickshire",2019-10-10,3,2015-05-20,2,440252,277134,"0","E07000220","E01031151",937,1604,"2","3","1",202,"Y","N",0.036700535238082,0.963299464761918
"123",130887,9372628,"Hillmorton Primary School","Primary","Community School","West Midlands","Warwickshire",2017-09-11,1,2013-03-21,2,453759,273785,"0","E07000220","E01031162",937,1635,"2","1","2",326,"Y","Y",0.0468725075340241,0.953127492465976
"124",130889,9372629,"Wembrook Primary School","Primary","Community School","West Midlands","Warwickshire",2020-05-11,2,2017-12-21,3,436471,290825,"0","E07000219","E01031116",937,872,"3","2","4",679,"N","Y",0.0926789741473155,0.907321025852684
"125",130894,9372631,"Milby Primary School","Primary","Community School","West Midlands","Warwickshire",2015-11-05,2,2014-01-21,3,437611,293895,"0","E07000219","E01031110",937,653,"3","2","1",421,"N","Y",0.0426006484028627,0.957399351597137
"126",130895,9372632,"Weddington Primary School","Primary","Community School","West Midlands","Warwickshire",2019-05-09,2,2017-01-11,3,436640,293486,"0","E07000219","E01031112",937,848,"3","2","2",438,"N","Y",0.0658495055099126,0.934150494490087
"127",130896,9372633,"Newdigate Primary and Nursery School","Primary","Community School","West Midlands","Warwickshire",2015-02-04,2,2013-02-06,3,433405,286295,"0","E07000219","E01031088",937,728,"3","2","3",336,"N","Y",0.106801041564498,0.893198958435502
"128",130897,9372634,"Goodyers End Primary School","Primary","Community School","West Midlands","Warwickshire",2017-12-12,2,2013-03-19,2,434415,285850,"0","E07000219","E01031089",937,1729,"2","2","3",380,"Y","Y",0.101569175834744,0.898430824165256
"129",130898,9372635,"Exhall Cedars Infant School","Primary","Community School","West Midlands","Warwickshire",2020-06-28,3,2014-07-10,2,435483,285835,"0","E07000219","E01031098",937,2180,"2","3","3",191,"Y","N",0.0852268474376938,0.914773152562306
"130",130910,9373590,"Knightlow CofE Primary School","Primary","Voluntary Aided School","West Midlands","Warwickshire",2012-11-08,1,2008-05-06,2,440844,273059,"0","E07000220","E01031150",937,1647,"2","1","1",218,"Y","Y",0.0336847742695562,0.966315225730444
"131",130951,9372637,"Shrubland Street Community Primary School","Primary","Community School","West Midlands","Warwickshire",2014-06-20,2,2013-01-09,3,432303,264649,"0","E07000222","E01031263",937,527,"3","2","4",219,"N","Y",0.155094535113407,0.844905464886593
"132",132059,9372640,"Camp Hill Primary School","Primary","Community School","West Midlands","Warwickshire",2017-06-29,2,2015-05-07,3,434219,292853,"0","E07000219","E01031075",937,784,"3","2","5",459,"N","Y",0.15222199303338,0.84777800696662
"133",134924,9373596,"Kingsbury Primary School","Primary","Community School","West Midlands","Warwickshire",2017-09-11,2,2015-04-20,3,421506,296709,"0","E07000218","E01031033",937,875,"3","2","2",258,"N","Y",0.0814432817661236,0.918556718233876
"134",136061,9372083,"Outwoods Primary School","Primary","Community School","West Midlands","Warwickshire",2017-06-20,2,2015-04-27,3,431153,297357,"0","E07000218","E01031013",937,785,"3","2","3",434,"N","Y",0.0954599097861067,0.904540090213893
"135",136158,9376905,"The Nuneaton Academy","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2017-10-10,3,2016-04-28,4,433847,290895,"1","E07000219","E01031050",937,530,"4","3","4",689,"N","N",0.352636073752637,0.647363926247363
"136",136459,9374112,"The Polesworth School","Secondary","Academy Converter","West Midlands","Warwickshire",2015-04-15,1,2008-01-15,1,425794,301486,"1","E07000218","E01031039",937,2647,"1","1","2",1526,"Y","Y",0.0816204994165109,0.918379500583489
"137",136507,9373598,"St Marie's Catholic Primary School and Nursery","Primary","Voluntary Aided School","West Midlands","Warwickshire",2015-03-06,2,2013-03-07,3,449956,274573,"0","E07000220","E01031167",937,729,"3","2","3",422,"N","Y",0.096788461068811,0.903211538931189
"138",136587,9374241,"Ashlawn School","Secondary","Academy Converter","West Midlands","Warwickshire",2013-12-18,1,2007-11-14,1,452453,273521,"1","E07000220","E01031179",937,2226,"1","1","1",1804,"Y","Y",0.0370930995610923,0.962906900438908
"139",136595,9375406,"Rugby High School","Secondary","Academy Converter","West Midlands","Warwickshire",2008-12-18,1,2006-03-02,1,448684,272950,"1","E07000220","E01031134",937,1022,"1","1","1",895,"Y","Y",0.109270611982481,0.890729388017519
"140",136622,9375407,"Alcester Grammar School","Secondary","Academy Converter","West Midlands","Warwickshire",2009-03-26,1,2006-04-27,1,408656,257782,"1","E07000221","E01031184",937,1064,"1","1","1",1304,"Y","Y",0.0679008820620122,0.932099117937988
"141",136786,9375408,"Studley High School","Secondary","Academy Converter","West Midlands","Warwickshire",2011-12-06,1,2007-05-18,2,407039,263437,"1","E07000221","E01031241",937,1663,"2","1","2",770,"Y","Y",0.188898836903431,0.811101163096569
"142",136907,9375403,"Myton School","Secondary","Academy Converter","West Midlands","Warwickshire",2018-03-19,2,2016-02-08,3,429748,264731,"1","E07000222","E01031315",937,770,"3","2","1",1659,"N","Y",0.0711612761514816,0.928838723848518
"143",136986,9374233,"The Coleshill School","Secondary","Academy Converter","West Midlands","Warwickshire",2016-06-13,2,2014-06-25,3,420066,287490,"1","E07000218","E01031022",937,719,"3","2","3",1205,"N","Y",0.247820411683485,0.752179588316515
"144",136991,9374108,"Henley In Arden School","Secondary","Academy Converter","West Midlands","Warwickshire",2013-12-18,2,2012-01-31,3,415188,265384,"1","E07000221","E01031202",937,687,"3","2","1",643,"N","Y",0.218517491315974,0.781482508684026
"145",137079,9374000,"The George Eliot School","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2017-12-12,3,2014-06-24,2,436870,290203,"1","E07000219","E01031117",937,1267,"2","3","4",820,"Y","N",0.315527725273933,0.684472274726067
"146",137172,9374240,"Alcester Academy","Secondary","Academy Converter","West Midlands","Warwickshire",2016-01-04,2,2013-10-15,3,409853,258044,"1","E07000221","E01031208",937,811,"3","2","2",605,"N","Y",0.322095946128833,0.677904053871167
"147",137235,9374002,"Stratford Girls' Grammar School","Secondary","Academy Converter","West Midlands","Warwickshire",2009-03-19,1,2006-03-30,2,418959,254729,"1","E07000221","E01031233",937,1085,"2","1","1",790,"Y","Y",0.122990069898742,0.877009930101258
"148",137236,9374124,"Stratford Upon Avon School","Secondary","Academy Converter","West Midlands","Warwickshire",2016-04-08,2,2014-02-14,3,419228,255075,"1","E07000221","E01031232",937,784,"3","2","1",1504,"N","Y",0.0853739497560778,0.914626050243922
"149",137488,9372000,"The Priors School","Primary","Free School","West Midlands","Warwickshire",2015-06-08,2,2013-07-26,3,448994,257579,"1","E07000221","E01031197",937,682,"3","2","1",80,"N","Y",0.112650871757739,0.887349128242261
"150",137766,9374192,"Campion School","Secondary","Academy Converter","West Midlands","Warwickshire",2014-12-20,2,2009-12-15,2,433031,264229,"1","E07000222","E01031328",937,1831,"2","2","3",792,"Y","Y",0.358013464782587,0.641986535217413
"151",137767,9374153,"Higham Lane School","Secondary","Academy Converter","West Midlands","Warwickshire",2019-06-13,1,2013-11-06,2,437036,292941,"1","E07000219","E01031112",937,2045,"2","1","1",1425,"Y","Y",0.058768841212149,0.941231158787851
"152",137770,9374190,"Aylesford School and Sixth Form College","Secondary","Academy Converter","West Midlands","Warwickshire",2018-05-10,2,2012-10-22,2,427320,263602,"1","E07000222","E01033255",937,2026,"2","2","2",1063,"Y","Y",0.209528051846158,0.790471948153842
"153",137771,9374004,"Etone College","Secondary","Academy Converter","West Midlands","Warwickshire",2017-03-30,2,2015-03-09,3,436859,292166,"1","E07000219","E01031102",937,752,"3","2","4",826,"N","Y",0.413925736887756,0.586074263112244
"154",137781,9375401,"Ash Green School","Secondary","Academy Converter","West Midlands","Warwickshire",2013-06-10,2,2010-06-08,3,433511,284988,"1","E07000219","E01031078",937,1098,"3","2","3",985,"N","Y",0.303659640905548,0.696340359094452
"155",137989,9372424,"Henry Hinde Infant School","Primary","Academy Converter","West Midlands","Warwickshire",2013-05-09,2,2007-12-12,1,448131,274337,"1","E07000220","E01031127",937,1975,"1","2","3",154,"Y","Y",0.21788322775625,0.78211677224375
"156",138431,9372003,"Race Leys Junior School","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2019-03-11,2,2014-07-08,2,435625,287584,"1","E07000219","E01031109",937,1707,"2","2","3",225,"Y","Y",0.20285938348823,0.79714061651177
"157",138644,9375402,"Hartshill School","Secondary","Academy Converter","West Midlands","Warwickshire",2019-11-18,3,2017-05-05,3,432698,293733,"1","E07000218","E01031030",937,927,"3","3","4",1000,"N","N",0.268200759000916,0.731799240999084
"158",138767,9374113,"Shipston High School","Secondary","Academy Converter","West Midlands","Warwickshire",2015-02-27,2,2013-05-02,3,425228,240851,"1","E07000221","E01031216",937,666,"3","2","1",554,"N","Y",0.238500781174436,0.761499218825564
"159",138909,9373311,"Tanworth-in-Arden CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2019-03-04,3,2014-10-01,1,411339,270547,"1","E07000221","E01031244",937,1615,"1","3","1",253,"Y","N",0.0618799727559339,0.938120027244066
"160",138912,9372010,"Dordon Primary School","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2014-07-15,2,2012-10-24,3,426118,300784,"1","E07000218","E01031026",937,629,"3","2","3",204,"N","Y",0.207221046969773,0.792778953030227
"161",138914,9372006,"Riverside Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2014-06-09,2,2011-07-07,3,449486,276540,"1","E07000220","E01031171",937,1068,"3","2","4",235,"N","Y",0.249421737662977,0.750578262337023
"162",138915,9372008,"Oakfield Primary Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2016-07-11,2,2014-06-25,3,449780,274642,"1","E07000220","E01031167",937,747,"3","2","3",392,"N","Y",0.170608427685307,0.829391572314693
"163",138934,9372619,"Birchwood Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2014-10-02,1,2011-07-22,2,425792,301406,"1","E07000218","E01031026",937,1168,"2","1","2",437,"Y","Y",0.0731091717344222,0.926890828265578
"164",139127,9372011,"The Nethersole CofE Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2015-04-24,2,2011-07-12,3,426737,302612,"1","E07000218","E01031037",937,1382,"3","2","2",275,"N","Y",0.138157297348831,0.861842702651169
"165",139468,9377002,"Oak Wood Primary School","Special","Academy Special Converter","West Midlands","Warwickshire",2013-07-19,2,2010-04-19,2,436675,290380,"1","E07000219","E01031116",937,1187,"2","2","4",127,"Y","Y",0.153456451992645,0.846543548007355
"166",139469,9377046,"Oak Wood Secondary School","Special","Academy Special Converter","West Midlands","Warwickshire",2013-07-19,2,2010-01-19,2,436675,290380,"1","E07000219","E01031116",937,1277,"2","2","4",153,"Y","Y",0.149201716690022,0.850798283309978
"167",139518,9373595,"St Nicholas CofE Primary","Primary","Academy Converter","West Midlands","Warwickshire",2012-04-16,1,2008-12-05,2,408990,258091,"1","E07000221","E01031185",937,1228,"2","1","3",412,"Y","Y",0.108169476866621,0.891830523133379
"168",139913,9372012,"Arley Primary School","Primary","Community School","West Midlands","Warwickshire",2019-03-04,2,2016-11-11,3,429440,289714,"0","E07000218","E01031005",937,843,"3","2","4",222,"N","Y",0.15459425298146,0.84540574701854
"169",139936,9374003,"Nicholas Chamberlaine School","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2019-12-18,3,2015-07-13,2,436815,286996,"1","E07000219","E01031095",937,1619,"2","3","3",1218,"Y","N",0.173485479926423,0.826514520073577
"170",139937,9374005,"The Queen Elizabeth Academy","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2017-06-07,2,2013-04-15,3,431617,297410,"1","E07000218","E01031013",937,1514,"3","2","3",657,"N","Y",0.398439819797724,0.601560180202276
"171",140004,9372015,"Park Lane Primary School","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2019-11-26,2,2015-09-11,2,432112,291171,"1","E07000219","E01031090",937,1537,"2","2","5",415,"Y","Y",0.259737868484468,0.740262131515532
"172",140125,9373007,"Austrey CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2018-04-16,2,2016-04-07,3,429522,306669,"1","E07000218","E01031036",937,739,"3","2","2",90,"N","Y",0.16869004811844,0.83130995188156
"173",140127,9373594,"Cawston Grange Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2014-11-05,2,2012-11-09,2,447555,273947,"1","E07000220","E01032894",937,726,"2","2","1",403,"Y","Y",0.0775911829592638,0.922408817040736
"174",140135,9372059,"Henley-In-Arden CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2018-11-11,2,2016-03-09,3,415479,265937,"1","E07000221","E01031203",937,977,"3","2","3",140,"N","Y",0.220938606384383,0.779061393615617
"175",140139,9373047,"Newton Regis CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2015-07-17,2,2012-04-23,3,427929,307430,"1","E07000218","E01031036",937,1180,"3","2","2",105,"N","Y",0.166026559287058,0.833973440712942
"176",140152,9373072,"Warton Nethersole's CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2015-07-03,2,2009-12-19,3,428489,303623,"1","E07000218","E01031035",937,2022,"3","2","2",159,"N","Y",0.156716543052869,0.843283456947131
"177",140153,9372642,"Woodside CofE Primary School","Primary","Academy Converter","West Midlands","Warwickshire",2013-03-21,2,2011-02-03,3,427538,298377,"1","E07000218","E01031017",937,777,"3","2","3",201,"N","Y",0.207849763599165,0.792150236400835
"178",140198,9372019,"Racemeadow Primary Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2017-07-17,2,2015-06-26,3,431339,298103,"1","E07000218","E01031012",937,752,"3","2","3",299,"N","Y",0.188037289670396,0.811962710329604
"179",140371,9374006,"Harris Church of England Academy","Secondary","Academy Sponsor Led","West Midlands","Warwickshire",2018-09-20,3,2017-01-18,4,449768,274117,"1","E07000220","E01031176",937,610,"4","3","2",716,"N","N",0.21083698025567,0.78916301974433
"180",140372,9372022,"Henry Hinde Junior School","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2018-12-11,3,2017-01-25,4,447921,274676,"1","E07000220","E01032895",937,685,"4","3","3",241,"N","N",0.139051099143167,0.860948900856833
"181",140418,9372023,"Wood End Primary School","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2019-04-10,2,2017-02-15,4,424059,298039,"1","E07000218","E01031031",937,784,"4","2","3",160,"N","Y",0.216583145930592,0.783416854069408
"182",140419,9372025,"Queen's Church of England Academy","Primary","Academy Sponsor Led","West Midlands","Warwickshire",2016-12-07,2,2013-01-15,4,435269,291706,"1","E07000219","E01031047",937,1422,"4","2","4",336,"N","Y",0.226111400256118,0.773888599743882
