"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","IDACI","num_pupils","bad_out_chance","good_out_chance","URN","Schoolname","Typeofeducation","Region","Localauthority","Publicationdate","Overalleffectiveness","Previouspublicationdate","Previousfullinspectionoveralleffectiveness","daysbetween"
"104",9375400,"Secondary",449544,276564,"0","E07000220","E01031171",937,"3",1090,0.469166666666667,0.530833333333333,125764,"The Avon Valley School and Performing Arts College","Foundation School","West Midlands","Warwickshire",2013-12-04,2,2011-02-16,2,1022
"105",9377000,"Special",433641,284354,"0","E07000219","E01032588",937,"3",234,0.260173902894491,0.739826097105509,125794,"Exhall Grange Specialist School","Community Special School","West Midlands","Warwickshire",2014-06-18,2,2013-01-14,3,520
"106",9377028,"Special",428039,266285,"0","E07000222","E01031312",937,"1",123,0.23456746031746,0.76543253968254,125805,"Ridgeway School","Community Special School","West Midlands","Warwickshire",2014-11-24,2,2012-01-09,1,1050
"107",9377030,"Special",430224,264837,"0","E07000222","E01031315",937,"2",126,0.231496031746032,0.768503968253968,125806,"Round Oak School","Community Special School","West Midlands","Warwickshire",2013-12-17,2,2012-03-15,3,642
"108",9373216,"Primary",441764,252277,"0","E07000221","E01031198",937,"1",135,0.271114832663989,0.728885167336011,130379,"The Dassett CofE Primary School","Voluntary Controlled School","West Midlands","Warwickshire",2015-05-08,2,2013-05-09,3,729
"109",9372623,"Primary",428965,265152,"0","E07000222","E01031316",937,"2",651,0.301990680689454,0.698009319310546,130867,"Coten End Primary School","Community School","West Midlands","Warwickshire",2012-01-12,1,2007-02-26,2,1781
"110",9372622,"Primary",433354,264603,"0","E07000222","E01031334",937,"3",416,0.295258928571429,0.704741071428571,130868,"Sydenham Primary School","Community School","West Midlands","Warwickshire",2015-02-25,1,2011-02-07,1,1479
"111",9372621,"Primary",432691,267183,"0","E07000222","E01031274",937,"4",303,0.329757936507937,0.670242063492064,130869,"Lillington Primary School","Community School","West Midlands","Warwickshire",2019-09-02,4,2016-11-15,3,1021
"112",9372620,"Primary",428705,270951,"0","E07000222","E01031303",937,"1",261,0.228906242578456,0.771093757421544,130870,"St John's Primary School","Community School","West Midlands","Warwickshire",2014-03-07,2,2012-07-06,3,609
"113",9372638,"Primary",431586,264570,"0","E07000222","E01031261",937,"4",173,0.286742072765039,0.713257927234961,130872,"Kingsway Community Primary School","Community School","West Midlands","Warwickshire",2020-02-03,3,2017-09-05,4,881
"114",9373212,"Primary",438245,274222,"0","E07000220","E01031181",937,"3",180,0.39705515205092,0.602944847949081,130875,"Provost Williams CofE Primary School","Voluntary Controlled School","West Midlands","Warwickshire",2014-03-03,2,2012-08-16,3,564
"115",9373591,"Primary",451488,275635,"0","E07000220","E01031130",937,"3",326,0.376352771098538,0.623647228901462,130877,"St Andrew's Benn CofE (Voluntary Aided) Primary School","Voluntary Aided School","West Midlands","Warwickshire",2017-01-19,2,2014-11-26,3,785
"116",9373593,"Primary",446752,283064,"0","E07000220","E01031160",937,"1",308,0.248549099721313,0.751450900278686,130878,"The Revel CofE (Aided) Primary School","Voluntary Aided School","West Midlands","Warwickshire",2011-11-07,2,2009-06-02,3,888
"117",9373215,"Primary",428060,287260,"0","E07000218","E01031028",937,"2",149,0.263730598869784,0.736269401130216,130881,"Bournebrook CofE Primary School","Voluntary Controlled School","West Midlands","Warwickshire",2019-12-05,2,2008-02-29,1,4297
