"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"89",9373541,"Primary",428379,273187,"0","E07000222","E01031254",937,"2","1",200,"Y",NA,0.0638158949117466,0.936184105088253
"90",9373542,"Primary",431646,265727,"0","E07000222","E01033253",937,"2","1",103,"Y",NA,0.066853495504776,0.933146504495224
"91",9373543,"Primary",431677,264490,"0","E07000222","E01031261",937,"2","4",166,"Y",NA,0.19293958669646,0.80706041330354
"92",9373544,"Primary",433020,265193,"0","E07000222","E01031337",937,"1","3",234,"Y",NA,0.0923300589100608,0.90766994108994
"93",9373545,"Primary",428329,265577,"0","E07000222","E01031321",937,"2","3",107,"Y",NA,0.148694313344148,0.851305686655852
"94",9373546,"Primary",433664,268310,"0","E07000222","E01031277",937,"2","3",157,"Y",NA,0.15996780713758,0.84003219286242
"95",9373547,"Primary",432388,263049,"0","E07000222","E01031331",937,"2","2",205,"Y",NA,0.0816616671706912,0.918338332829309
"96",9373561,"Primary",439996,270912,"0","E07000220","E01031149",937,"2","2",112,"Y",NA,0.0845055828928983,0.915494417107102
"97",9373564,"Primary",453102,273498,"0","E07000220","E01031163",937,"2","2",200,"Y",NA,0.0816616671706912,0.918338332829309
"98",9373587,"Primary",427139,260842,"0","E07000222","E01031269",937,"2","1",189,"Y",NA,0.0656303991264259,0.934369600873574
"99",9374752,"Secondary",430671,266531,"0","E07000222","E01031292",937,"2","2",558,"Y",NA,0.133181585713455,0.866818414286545
"100",9375201,"Primary",421812,263300,"0","E07000221","E01031217",937,"2","1",78,"Y",NA,0.0728463645416256,0.927153635458374
"101",9375202,"Primary",435943,290513,"0","E07000219","E01031116",937,"2","4",210,"Y",NA,0.142227946278846,0.857772053721154
"102",9375203,"Primary",406807,253683,"0","E07000221","E01031189",937,"2","2",97,"Y",NA,0.0856438320265228,0.914356167973477
"103",9375204,"Primary",448176,271260,"0","E07000220","E01031148",937,"1","1",175,"Y",NA,0.0661128779820176,0.933887122017982
"104",9375400,"Secondary",449544,276564,"0","E07000220","E01031171",937,"2","3",1090,"Y",NA,0.193665246437064,0.806334753562936
"105",9377000,"Special",433641,284354,"0","E07000219","E01032588",937,"2","3",234,"Y",NA,0.0720864700840029,0.927913529915997
"106",9377028,"Special",428039,266285,"0","E07000222","E01031312",937,"2","1",123,"Y",NA,0.0492005947262624,0.950799405273737
"107",9377030,"Special",430224,264837,"0","E07000222","E01031315",937,"2","2",126,"Y",NA,0.058379603654873,0.941620396345127
"108",9373216,"Primary",441764,252277,"0","E07000221","E01031198",937,"2","1",135,"Y",NA,0.0679234707360002,0.932076529264
"109",9372623,"Primary",428965,265152,"0","E07000222","E01031316",937,"1","2",651,"Y",NA,0.0686923183211866,0.931307681678813
