"","LAESTAB","Ofstedphase","Easting","Northing","Academy","DistrictAdministrativecode","LSOAcode","LACode","prev_out","IDACI","num_pupils","prev_good","curr_good","bad_out_chance","good_out_chance"
"158",9374113,"Secondary",425228,240851,"1","E07000221","E01031216",937,"2","1",554,"Y",NA,0.173919720251218,0.826080279748782
"159",9373311,"Primary",411339,270547,"1","E07000221","E01031244",937,"3","1",253,"N",NA,0.0936876514923825,0.906312348507617
"160",9372010,"Primary",426118,300784,"1","E07000218","E01031026",937,"2","3",204,"Y",NA,0.147732251709378,0.852267748290622
"161",9372006,"Primary",449486,276540,"1","E07000220","E01031171",937,"2","4",235,"Y",NA,0.240031260947164,0.759968739052836
"162",9372008,"Primary",449780,274642,"1","E07000220","E01031167",937,"2","3",392,"Y",NA,0.151003635409983,0.848996364590017
"163",9372619,"Primary",425792,301406,"1","E07000218","E01031026",937,"1","2",437,"Y",NA,0.0940658529244327,0.905934147075567
"164",9372011,"Primary",426737,302612,"1","E07000218","E01031037",937,"2","2",275,"Y",NA,0.113302879729026,0.886697120270974
"165",9377002,"Special",436675,290380,"1","E07000219","E01031116",937,"2","4",127,"Y",NA,0.0703360738626566,0.929663926137343
"166",9377046,"Special",436675,290380,"1","E07000219","E01031116",937,"2","4",153,"Y",NA,0.0703360738626566,0.929663926137343
"167",9373595,"Primary",408990,258091,"1","E07000221","E01031185",937,"1","3",412,"Y",NA,0.159511272553228,0.840488727446772
"168",9372012,"Primary",429440,289714,"0","E07000218","E01031005",937,"2","4",222,"Y",NA,0.135654476699476,0.864345523300524
"169",9374003,"Secondary",436815,286996,"1","E07000219","E01031095",937,"3","3",1218,"N",NA,0.272473770671702,0.727526229328298
"170",9374005,"Secondary",431617,297410,"1","E07000218","E01031013",937,"2","3",657,"Y",NA,0.327050575734323,0.672949424265677
"171",9372015,"Primary",432112,291171,"1","E07000219","E01031090",937,"2","5",415,"Y",NA,0.234907696590825,0.765092303409174
"172",9373007,"Primary",429522,306669,"1","E07000218","E01031036",937,"2","2",90,"Y",NA,0.140118482904811,0.859881517095189
"173",9373594,"Primary",447555,273947,"1","E07000220","E01032894",937,"2","1",403,"Y",NA,0.098919104201301,0.901080895798699
"174",9372059,"Primary",415479,265937,"1","E07000221","E01031203",937,"2","3",140,"Y",NA,0.182687899124669,0.817312100875331
